,Unnamed: 0,lang,sensitive,retweet,reply,likes,quote,created,text,id,author_id,sentiment,topic
5857,5857,en,FALSE,0,0,0,0,2021-12-04T04:46:48.000Z,I rated #Dune (2021) 10/10  #IMDb #Movies #Cinema https://t.co/3AS6ocD3RL,1.47E+18,1.05E+18,positive,review or commentary
1930,1930,en,FALSE,0,0,1,0,2021-12-06T00:06:48.000Z,I’m rewatching the Lynch Dune #wormfever,1.47E+18,25588646,positive,other
7206,7206,en,FALSE,0,0,1,0,2021-12-03T15:53:53.000Z,"No movie theaters near me are playing Dune in IMAX, sadly.",1.47E+18,831765312,positive,theatre or streaming service
4838,4838,en,FALSE,0,0,0,0,2021-12-04T17:22:11.000Z,"Dune was basically everything I ever wanted in a sci fi movie, music was increadble and just looks amazing 10/10",1.47E+18,1.28E+18,positive,review or commentary
6466,6466,en,FALSE,0,0,0,0,2021-12-03T23:00:22.000Z,First Look: BOOM! Studios’ ‘Dune: A Whisper Of Caladan Seas’ #1 https://t.co/wOh4wlrKFI,1.47E+18,3835456033,neutral,other
2466,2466,en,FALSE,0,0,0,0,2021-12-05T19:00:49.000Z,The latest Film Noir Daily! https://t.co/hWNwcM6mEF Thanks to @TribDavidson @rejectnation @filmmakingstuff #dune #investors,1.47E+18,518806991,neutral,other
4893,4893,en,FALSE,1,1,3,0,2021-12-04T16:49:27.000Z,"Haven't got enough of Thron talking DUNE? Well this is your lucky day! The amazing folks at @CupFine  invited him on to do just that!!  Thanks to @PunkyfinsGo , @Thirith_ch and @Trubshawe1!!

https://t.co/vWGD7UNDpF",1.47E+18,1.05E+18,neutral,other
2547,2547,en,FALSE,1,0,2,0,2021-12-05T18:16:27.000Z,"Finally after a long time i watched https://t.co/V7cDdjm7FD's a visual masterpiece,this film is not for everyone. Denis Villeneuve direction is another level and Hans Zimmer music i loved it. Waiting for  the second part",1.47E+18,1.44E+18,positive,review or commentary
231,231,en,FALSE,0,1,1,0,2021-12-06T21:57:41.000Z,dune time,1.47E+18,1.32E+18,neutral,other
3577,3577,en,FALSE,0,1,3,0,2021-12-05T05:08:38.000Z,#DuneMovie is so good I book one more ticket. I'll watch it again today. 😋😆,1.47E+18,1.24E+18,positive,review or commentary
3720,3720,en,FALSE,0,0,2,0,2021-12-05T03:40:43.000Z,"Tonight I realized that the book Dune predicted VHS tapes. I have no idea what to do with that information, but I think it’s pretty interesting!",1.47E+18,1.40E+18,neutral,book
777,777,en,FALSE,0,0,1,0,2021-12-06T16:36:16.000Z,"Eating good at the cinema this week. Seeing Totoro tonight. Watching Dune in IMAX again. Checking out Power of the Dog, and possibly seeing West Side Story and actually loving it? Finally some good food. https://t.co/zUQml33l9j",1.47E+18,3288993098,positive,theatre or streaming service
794,794,en,FALSE,0,0,0,0,2021-12-06T16:27:06.000Z,"I want to just binge read Dune Messiah, but I just have a feeling if I read it slowly, I can soak it up better.",1.47E+18,42608227,positive,book
5970,5970,en,FALSE,0,1,3,0,2021-12-04T03:45:14.000Z,"Someone just used my amazon account to buy the new Dune movie and I’m not even that upset, just more baffled as to why that was the hackers first choice 🤔",1.47E+18,337844354,neutral,other
2256,2256,en,FALSE,0,0,1,0,2021-12-05T21:04:59.000Z,If there was no pandemic Dune part 2 would be released already 🙃,1.47E+18,1.42E+18,neutral,other
3692,3692,en,FALSE,0,0,1,0,2021-12-05T04:03:01.000Z,he was banging it on the water like he's calling for a dune sandworm https://t.co/DVYAShYauT,1.47E+18,1.20E+18,neutral,other
2828,2828,en,FALSE,0,1,1,0,2021-12-05T15:11:40.000Z,"Remembering when everyone was talking about Dune and was happy…

But hey, Spider-Verse 2 looks sick",1.47E+18,1.25E+18,positive,other
7157,7157,en,FALSE,0,0,0,0,2021-12-03T16:15:24.000Z,THE DUNE UNDER THE MOON https://t.co/IxdPQw7IFa via @YouTube,1.47E+18,2235294482,neutral,other
7550,7550,en,FALSE,0,0,0,0,2021-12-03T12:30:43.000Z,Dune Cinematographer Greig Fraser on Shooting With Denis Villeneuve https://t.co/mwgAX2N7bS,1.47E+18,723031957,neutral,cinematography or videography
